Scale.name,variable.name,reversecoded,Importance.rank,Effect.direction,Effect.surprising,Items,n,mean,sd,min,max,skew,skew_2se,kurt,kurt_2se,Reliability,Interpret,min_load,max_load,PC1,Reference,Measure,Scale,construct,description,description.en,sample.item,sample.item.en,items.regex,subscale,comments,item.names
Openness (big 5),openness,,35,No marginal effect,,6,493,4.89,0.96,1.5,7,-0.36,-1.63,0.03,0.06,0.72,Acceptable,0.39,0.64,0.43,"Borghuis, J., Denissen, J. J. A., Oberski, D., Sijtsma, K., Meeus, W. H. J., Branje, S., Koot, H. M., & Bleidorn, W. (2017). Big Five personality stability, change, and codevelopment across adolescence and early adulthood. Journal of Personality and Social Psychology, 113(4), 641–657. https://doi.org/10.1037/pspp0000142",Big Five Openheid nieuwe ideeën,Big Five Openheid nieuwe ideeën,Big Five Openheid nieuwe ideeën,"5 “universele” persoonlijkheidskenmerken: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism","5 universal personality traits: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism",06 Onderzoekend,Inquisitive,bf11aa(01|06|14|19|23|30),^bf11aaope$,,bf11aa01 bf11aa06 bf11aa14 bf11aa19 bf11aa23 bf11aa30
Perspective taking (IRI),IRI_pet_aa,TRUE,36,No marginal effect,,7,493,3.3,0.54,1.29,4.86,-0.23,-1.04,0.72,1.65,0.6,Questionable,0.07,0.75,0.34,"Davis, M. H. (1983). Measuring individual differences in empathy: Evidence for a multidimensional approach. Journal of Personality and Social Psychology, 44(1), 113–126. https://doi.org/10.1037/0022-3514.44.1.114",Interpersonal Reactivity Index,Perspectief Nemen,Interpersonal Reactivity Index - Perspectief Nemen,Empathie/Emotionele en cognitieve facetten van empathie,Empathy/Emotional and cognitive facets of empathy,"15 Als ik zeker weet dat ik gelijk heb, verspil ik weinig tijd aan het luisteren naar andermans argumenten.","When I am sure I am right, I waste little time listening to other people's arguments.",ir11aa(03|08|11|15|21|25|28)$,^ir11aapet$,,rir11aa03 ir11aa08 ir11aa11 rir11aa15 ir11aa21 ir11aa25 ir11aa28
Drug use,drugs,,37,No marginal effect,,6,492,0.04,0.4,0,7.5,14.79,67.18,250.04,568.91,0.8,Good,NA,NA,0.55,,Substance Use,Substance Use,Substance Use,Questionnaire of substance (ab)-use,Questionnaire substance (ab)use,Gebruik je wel eens OP EEN DAG OF AVOND drugs én alcohol? ,Do you ever use drugs and alcohol in the same day or evening? ,su11aa(0[6-9]|1[0-1])$,^su11aahd$,"Alleen vragen over gebruik van hard drugs wordt gebruikt om een schaal te maken, dit heb ik aangehouden. MAAR: info over alcohol/roken ook beschikbaar (^su11aa0[1-5]$)",su11aa06 su11aa07 su11aa08 su11aa09 su11aa10 su11aa11
Daily tiredness,DMD_tired,,38,Positive,,2,486,3.43,2.32,1,10,0.86,3.9,-0.01,-0.02,0.75(sb),Acceptable,0.77,0.77,0.81,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207806",Daily Mood Device,Moeheid,Daily Mood Device - Moeheid,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,moe,tired,dm11aa1[5-6]$,^dm11aamoe$,,dm11aa15 dm11aa16
Power (f),power_father,,39,Positive,,6,465,2.94,0.69,1,4.83,0.17,0.76,0.07,0.16,0.82,Good,0.6,0.77,0.53,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Power,Network of Relationships Inventory - Power,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of personal relationships in their social networks,Hoe vaak lukt het je vader jou de dingen te laten doen zoals hij/zij dat wil?,How often does your father manage to get you to do things the way he/she wants?,nr11av(16|17|18|22|23|24)$,^nr11avpow$,,nr11av16 nr11av17 nr11av18 nr11av22 nr11av23 nr11av24
Daily anger,DMD_angry,,40,Positive,,3,486,1.95,1.47,1,10,1.98,8.95,4.1,9.26,0.92,Excellent,0.82,1,0.86,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207802",Daily Mood Device,Boos,Daily Mood Device - Boos,Veranderlijkheid van Emoties en Gevoelens,Variability of Emotions and Feelings,boos,angry,dm11aa0[4-6]$,^dm11aaboo$,,dm11aa04 dm11aa05 dm11aa06
Conflict compliance (f),CRSI_co_av,,41,No marginal effect,,5,464,1.97,0.66,1,4,0.5,2.2,-0.05,-0.11,0.63,Questionable,0.43,0.59,0.38,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Compliance,Conflict Resolution Style Inventory - Compliance,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles in parent & non-parent pairs,Hem/Haar de zin geven,Giving him/her what he/she wants,cr11av(04|08|12|16|20)$,^cr11avco$,,cr11av04 cr11av08 cr11av12 cr11av16 cr11av20
Pubertal development,pubert,TRUE,42,Positive,,5,493,2.19,0.83,1,4.4,0.55,2.5,-0.52,-1.18,0.84,Good,0.51,0.84,0.68,"Petersen, A. C., Crockett, L., Richards, M., & Boxer, A. (1988). A self-report measure of pubertal status: Reliability, validity, and initial norms. Journal of Youth and Adolescence, 17, 117–133. doi:10.1007/BF01537962",Pubertal Development,Pubertal Development,Pubertal Development,Various items on development of body due to puberty,Various items on body development as a result of puberty,Sinds wanneer heb je gemerkt dat je schaamhaar kreeg?,Since when did you notice that you were getting pubic hair?,NA,^pu11aa(01|04|05|09|10)$,,pu11aa01 pu11aa04 pu11aa05 pu11aa09 pu11aa10
Emotion regulation (mf),emotionalresponse,,43,Negative,,7,475,2.86,0.64,1,4,0.17,0.75,-1.1,-2.45,0.77,Acceptable,0.12,0.88,0.55,"Cole, J. D. & Kazarian, S. S. (1988) The Level of Expressed Emotion Scale: A new measure of expressed emotion. Journal of Clinical Psychology, 44, 392-397.",Level of Expressed Emotion,Perceived Irritation,Level of Expressed Emotion - Perceived Irritation,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,Measurements of expressed emotions as experienced by the adolescent from parents towards him/her/their,Kunnen niet meer redelijk denken als dingen fout gaan. ,Unable to think reasonably when things go wrong. ,le11ao(06|12|23|27|29|30|31)$,^le11aoir$,,le11ao06 rle11ao12 rle11ao23 le11ao27 le11ao29 le11ao30 le11ao31
Empathic concern (IRI),IRI_emp_aa,,44,Positive,,7,493,2.46,0.55,0.14,4,-0.09,-0.41,0.41,0.94,0.62,Questionable,0.29,0.56,0.31,"Davis, M. H. (1983). Measuring individual differences in empathy: Evidence for a multidimensional approach. Journal of Personality and Social Psychology, 44(1), 113–126. https://doi.org/10.1037/0022-3514.44.1.113",Interpersonal Reactivity Index,Empathische Bezorgdheid,Interpersonal Reactivity Index - Empathische Bezorgdheid,Empathie/Emotionele en cognitieve facetten van empathie,Empathy/Emotional and cognitive facets of empathy,4 Soms heb ik weinig medelijden met andere mensen wanneer ze problemen hebben. ,Sometimes I have little pity for other people when they have problems. ,ir11aa(02|04|09|14|18|20|22)$,^ir11aaemp$,,ir11aa02 rir11aa04 ir11aa09 rir11aa14 rir11aa18 ir11aa20 ir11aa22
Conscientiousness (big 5),conscientious,,45,,,6,493,3.98,1.11,1.17,7,0.13,0.6,-0.31,-0.72,0.82,Good,0.43,0.79,0.54,"Borghuis, J., Denissen, J. J. A., Oberski, D., Sijtsma, K., Meeus, W. H. J., Branje, S., Koot, H. M., & Bleidorn, W. (2017). Big Five personality stability, change, and codevelopment across adolescence and early adulthood. Journal of Personality and Social Psychology, 113(4), 641–657. https://doi.org/10.1037/pspp0000140",Big Five Zorgvuldigheid,Big Five Zorgvuldigheid,Big Five Zorgvuldigheid,"5 “universele” persoonlijkheidskenmerken: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism",Big five personality traits,03 Slordig,Careless,bf11aa(03|08|12|17|25|27)$,^bf11aazor$,,rbf11aa03 bf11aa08 bf11aa12 bf11aa17 bf11aa25 bf11aa27
Conflict withdrawal (f),CRSI_wi_av,TRUE,46,,,5,463,2.26,0.72,1,4.4,0.29,1.27,-0.48,-1.07,0.69,Questionable,0.26,0.85,0.44,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Withdrawal,Conflict Resolution Style Inventory - Withdrawal,Conflict resolution styles in parent & nonparent couples,Styles of conflict resolution in parent & non-parent couples,"Stoppen, er niet meer op in gaan en weigeren om nog verder te praten ","Stop, stop going into it and refuse to talk any further ",cr11av(03|07|11|15|19)$,^cr11avwi$,,cr11av03 cr11av07 cr11av11 cr11av15 cr11av19
Conflict frequency (b),negativeaffect_friend,,47,,,6,466,1.33,0.45,1,4.67,2.18,9.63,7.74,17.15,0.87,Good,0.69,0.79,0.61,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Negative Interaction,Network of Relationships Inventory - Negative Interaction,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoe vaak ben je het oneens met je beste vriend(in) en zitten jullie ruzie te maken?,How often do you disagree with your best friend and sit around arguing?,nr11ab(01|02|06|08|12|13)$,^nr11abneg$,,nr11ab01 nr11ab02 nr11ab06 nr11ab08 nr11ab12 nr11ab13
Conflict frequency (m),negativeaffect_mother,TRUE,48,,,6,494,1.66,0.59,1,4.5,1.45,6.61,3.46,7.88,0.9,Good,0.71,0.81,0.66,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Negative Interaction,Network of Relationships Inventory - Negative Interaction,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoe vaak ben je het oneens met je moeder en zitten jullie ruzie te maken?,How often do you disagree with your mother and sit around arguing?,nr11am(01|02|06|08|12|13)$,^nr11amneg$,,nr11am01 nr11am02 nr11am06 nr11am08 nr11am12 nr11am13
Parent annoyed,annoyed,TRUE,49,,,5,475,3.35,0.5,1,4,-0.98,-4.35,1.33,2.97,0.73,Acceptable,0.41,0.72,0.53,"Cole, J. D. & Kazarian, S. S. (1988) The Level of Expressed Emotion Scale: A new measure of expressed emotion. Journal of Clinical Psychology, 44, 392-397.",Level of Expressed Emotion,Perceived Criticism,Level of Expressed Emotion - Perceived Criticism,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,Measures of expressed emotions as perceived by adolescent from parents towards him/her/their,Ergeren zich als ik iets van hun wil,Get annoyed when I want something from them,le11ao3[4-8]$,^le11aokr$,,le11ao34 le11ao35 le11ao36 rle11ao37 rle11ao38
Daily tenseness,DMD_tense,,50,,,2,486,2.6,2.01,1,10,1.34,6.07,1.24,2.8,0.75(sb),Acceptable,0.77,0.77,0.8,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207807",Daily Mood Device,Gespannenheid,Daily Mood Device - Gespannenheid,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,nerveus,nervous,dm11aa(18|20)$,^dm11aages$,,dm11aa18 dm11aa20
Victim relational,vicrelat,,51,,,4,490,2.2,1.14,1,7,1.07,4.83,0.85,1.94,0.78,Acceptable,0.59,0.75,0.6,"Linder, J. R., Crick, N. R., & Collins, W. A. (2002). Relational aggression and victimization in young adults' romantic relationships: Associations with perceptions of parent, peer, and romantic relationship quality. Social Development, 11(1), 69-86.",Proactive/Reactieve Agressie,slachtoffer relationeel,Proactive/Reactieve Agressie - slachtoffer relationeel,Victims of proactive and reactive forms of relational aggression ,Victims of proactive and reactive forms of relational aggression ,Anderen negeren mij of doen alsof ze me niet kennen als ze boos op me zijn. ,Others ignore me or pretend not to know me when they are angry with me. ,pr11aa(02|07|16|19)$,^pr11aavpa$,zie comment hierboven!,pr11aa02 pr11aa07 pr11aa16 pr11aa19
Conflict compliance (m),CRSI_co_am,TRUE,52,,,5,493,1.91,0.63,1,3.8,0.37,1.68,-0.41,-0.93,0.67,Questionable,0.45,0.66,0.41,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Compliance,Conflict Resolution Style Inventory - Compliance,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles in parent & non-parent pairs,Hem/Haar de zin geven,Sending him/her what he/she wants,cr11am(04|08|12|16|20)$,^cr11amco$,,cr11am04 cr11am08 cr11am12 cr11am16 cr11am20
Parental knowledge,parknow,TRUE,53,,,18,495,4.03,0.62,1.65,5,-0.66,-3,0.26,0.59,0.9,Good,0.03,0.73,0.4,"Kerr, M. & Stattin, H. (2000). What parents know, how they know it, and several forms of adolescent adjustment: Further support for a reinterpretation of monitoring. Developmental Psychology, 36, 366-380.",Parenting Practices,Parental Knowledge,Parenting Practices - Parental Knowledge,"What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs","What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs",Weet je moeder met welke vrienden jij optrekt in je vrije tijd?,Does your mother know which friends you hang out with in your free time?,pp11a(m|v)0[1-9]$,^pp11a(m|v)pk$,Moeder en vader samengevoegd!,pp11am01 pp11am02 pp11am03 pp11am04 pp11am05 pp11am06 pp11am07 pp11am08 rpp11am09 pp11av01 pp11av02 pp11av03 pp11av04 pp11av05 pp11av06 pp11av07 pp11av08 rpp11av09
Support (m),support_mother,,54,,,12,494,3.81,0.55,1,5,-0.78,-3.54,1.47,3.35,0.85,Good,0.42,0.79,0.38,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Support,Network of Relationships Inventory - Support,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoeveel geeft je moeder echt om je?,How much does your mother really care about you?,nr11am(03|04|05|07|11|09|10|11|14|15|19|20|21)$,^nr11amsup$,,nr11am03 nr11am04 nr11am05 nr11am07 nr11am09 nr11am10 nr11am11 nr11am14 nr11am15 nr11am19 nr11am20 nr11am21
Support (f),support_father,TRUE,55,,,12,465,3.55,0.57,1.5,4.83,-0.59,-2.6,0.37,0.82,0.85,Good,0.41,0.75,0.38,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Support,Network of Relationships Inventory - Support,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoeveel geeft je vader echt om je?,How much does your father really care about you?,nr11av(03|04|05|07|11|09|10|11|14|15|19|20|21)$,^nr11avsup$,,nr11av03 nr11av04 nr11av05 nr11av07 nr11av09 nr11av10 nr11av11 nr11av14 nr11av15 nr11av19 nr11av20 nr11av21
Daily anxiety,DMD_anxious,,56,,,3,486,1.84,1.41,1,9.33,2.32,10.46,5.9,13.35,0.9,Good,0.77,0.96,0.84,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207803",Daily Mood Device,Bang,Daily Mood Device - Bang,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,bang,scared,dm11aa0[7-9]$,^dm11aaban$,,dm11aa07 dm11aa08 dm11aa09
Conflict resolution (b),CRSI_ps_ab,TRUE,58,,,5,464,3.15,0.94,1,5,-0.27,-1.19,-0.24,-0.54,0.84,Good,0.58,0.84,0.56,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Problem solving,Conflict Resolution Style Inventory - Problem solving,Conflict resolution styles in parent & nonparent couples,Styles of conflict resolution in parent and non-parent pairs,Bij elkaar gaan zitten en onze verschillen van mening goed bespreken ,Sit down and discuss our differences properly ,cr11ab(02|06|10|14|18)$,^cr11abps$,,cr11ab02 cr11ab06 cr11ab10 cr11ab14 cr11ab18
Delinquency,delinquency,,59,,,30,491,0.55,0.23,0,2.47,4.42,20.07,27.36,62.18,0.87,Good,0.01,0.83,0.34,"Junger-Tas, J., Terlouw, G., Klein, M.W., eds (1994) Delinquent behavior among young people in the western world. First results of the international self-report delinquency study. ",Delinquentie Zelfrapportage,Delinquentie Zelfrapportage,Delinquentie Zelfrapportage,Zelfrapportage Delinquent Gedrag - Variatie & Frequentie mogelijk,Self-report Delinquent Behavior - Variation & Frequency possible,... iemand bedreigd om die persoon bang te maken of iets te laten doen? Bv op het schoolplein of in een chatbox op de computer. ,... threatened someone to scare that person or make them do something? E.g. in the schoolyard or in a chat box on the computer. ,zd11aa[0-3][0-9]$,^zd11aafrq$,"Bestaat uit diverse subschalen, eg: ""geweld"" [20,21,22,24,25], ""vermogen"" [8-19], ""openbare orde"" [1-7], totaal (1-30) is ""frequentie"", als het dichotoom wordt gemaakt heet het ""variantie""",zd11aa01 zd11aa02 zd11aa03 zd11aa04 zd11aa05 zd11aa06 zd11aa07 zd11aa08 zd11aa09 zd11aa10 zd11aa11 zd11aa12 zd11aa13 zd11aa14 zd11aa15 zd11aa16 zd11aa17 zd11aa18 zd11aa19 zd11aa20 zd11aa21 zd11aa22 zd11aa23 zd11aa24 zd11aa25 zd11aa26 zd11aa27 zd11aa28 zd11aa29 zd11aa30
Bully relational,perprelat,,60,,,10,490,1.9,0.83,1,4.8,1.02,4.62,0.44,0.99,0.84,Good,0.41,0.72,0.45,"Linder, J. R., Crick, N. R., & Collins, W. A. (2002). Relational aggression and victimization in young adults' romantic relationships: Associations with perceptions of parent, peer, and romantic relationship quality. Social Development, 11(1), 69-86.",Proactive/Reactieve Agressie,relationele agressie,Proactive/Reactieve Agressie - relationele agressie,Perpetrators of proactive and reactive forms of relational aggression ,Perpetrators of proactive and reactive forms of relational aggression ,Ik negeer met opzet anderen tot ze me mijn zin geven.,I intentionally ignore others until they give me my way.,pr11aa(03|06|14|18|22|04|09|10|11|21)$,^pr11aarat$,,pr11aa03 pr11aa04 pr11aa06 pr11aa09 pr11aa10 pr11aa11 pr11aa14 pr11aa18 pr11aa21 pr11aa22
Victim delinquency,victim,,62,,,5,493,0.11,0.16,0,0.8,1.7,7.75,3.1,7.06,0.4,Unacceptable,0.07,0.46,0.45,,Slachtofferschap,Slachtofferschap,Slachtofferschap,Victimization of delinquent behaviour,Victimization of delinquent behaviour,Heeft iemand je het afgelopen jaar wel eens zo geslagen of geschopt dat je daardoor gewond bent geraakt? ,"In the past year, has anyone ever hit or kicked you in such a way that it injured you? ",ss11aa0[1-5]$,NA,"Per item, info beschikbaar over dader (ss11aa0[1-5]z hercodeert nach ss11aa0[1-5][a|b|c|d|e|f|g|h] - dichotoom info dader)",ss11aa01 ss11aa02 ss11aa03 ss11aa04 ss11aa05
Consistency (m),par_consist,TRUE,63,,,8,495,3.83,0.6,1.38,5,-0.38,-1.71,-0.07,-0.17,0.69,Questionable,0.26,0.73,0.37,"Slater, M.A., & Power, T.G. (1987). Multidimensional assessment of parenting in single-parent families.In J.P. Vincent (Ed.), Advances in family intervention, assessment, & theory (pp.197-228). Greenwich, CN: Jai Press. Dekovi?, M., Janssens, J. M. A. M.., & As, N. M. C. van (2003). Family predictors of antisocial behavior in adolescence. Family Process, 42, 223-235.",Parental Dimension Inventory,Parental Dimension Inventory,Parental Dimension Inventory,Consistency in Parental style,Consistency in parental style,"Ik heb weinig of geen moeite met het volhouden van regels voor mijn kind, zelfs als er familie (ookgrootouders) bij is. ","I have little or no trouble enforcing rules on my child, even when family (including grandparents) are present. ",pd11ma0[1-8]$,^pd11maco$,,rpd11ma01 rpd11ma02 rpd11ma03 rpd11ma04 pd11ma05 pd11ma06 pd11ma07 pd11ma08
Power (b),power_friend,,64,,,6,465,2.04,0.51,1,4,0.45,2.01,0.37,0.83,0.8,Good,0.51,0.79,0.5,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Power,Network of Relationships Inventory - Power,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoe vaak lukt het je beste vriend(in) jou de dingen te laten doen zoals hij/zij dat wil?,How often does your best friend manage to get you to do things the way he/she wants?,nr11ab(16|17|18|22|23|24)$,^nr11abpow$,,nr11ab16 nr11ab17 nr11ab18 nr11ab22 nr11ab23 nr11ab24
Daily sadness,DMD_sad,TRUE,65,,,3,486,1.72,1.45,1,9,2.73,12.31,7.95,17.97,0.94,Excellent,0.86,0.97,0.9,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207804",Daily Mood Device,Verdrietig,Daily Mood Device - Verdrietig,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,verdrietig,sad,dm11aa1[0-2]$,^dm11aaver$,,dm11aa10 dm11aa11 dm11aa12
School performance,school,TRUE,66,,,10,492,6.42,0.94,2.9,9.5,-0.26,-1.18,0.73,1.65,0.74,Acceptable,0.22,0.7,0.41,,Schoolprestatie,Schoolprestatie,Schoolprestatie,Niveau van functioneren op school,Level of functioning at school.,hoe goed ging het afgelopen week met je schoolprestaties? ,How well did your school performance go last week? ,NA,^sv11aa,"Geen info over schalen/items! Incl naam/regex - ""Schaalscores: Geen schalen gemaakt i.v.m. losse items""",sv11aa01 sv11aa02 sv11aa03 sv11aa04 sv11aa05 sv11aa06 sv11aa07 sv11aa08 sv11aa09 sv11aa10
Daily happiness,DMD_happy,,67,,,3,486,7.75,1.72,1,10,-0.5,-2.24,-0.17,-0.38,0.85,Good,0.67,0.93,0.77,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207801",Daily Mood Device,Blij,Daily Mood Device - Blij,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,blij,happy,dm11aa0[1-3]$,^dm11aabli$,self-reported mood moeder/vader relevant?,dm11aa01 dm11aa02 dm11aa03
Support (b),support_friend,,68,,,12,466,3.43,0.68,1,5,-0.1,-0.45,-0.27,-0.59,0.9,Good,0.41,0.8,0.47,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Support,Network of Relationships Inventory - Support,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoeveel geeft je beste vriend(in) echt om je?,How much does your best friend really care about you?,nr11ab(03|04|05|07|11|09|10|11|14|15|19|20|21)$,^nr11absup$,,nr11ab03 nr11ab04 nr11ab05 nr11ab07 nr11ab09 nr11ab10 nr11ab11 nr11ab14 nr11ab15 nr11ab19 nr11ab20 nr11ab21
Power (m),power_mother,,69,,,6,493,2.99,0.67,1,5,0.22,0.98,0.03,0.08,0.86,Good,0.59,0.8,0.58,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Power,Network of Relationships Inventory - Power,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of the personal relationship in their social networks.,Hoe vaak lukt het jemoeder jou de dingen te laten doen zoals hij/zij dat wil?,How often does your mother manage to get you to do things the way he/she wants?,nr11am(16|17|18|22|23|24)$,^nr11ampow$,Moeder en Vader samenvoegen?,nr11am16 nr11am17 nr11am18 nr11am22 nr11am23 nr11am24
Control (mf),conbehpar,,70,,,12,271,3.39,0.91,1,5,-0.32,-1.07,-0.73,-1.24,0.89,Good,0.26,0.83,0.38,"Kerr, M. & Stattin, H. (2000). What parents know, how they know it, and several forms of adolescent adjustment: Further support for a reinterpretation of monitoring. Developmental Psychology, 36, 366-380.",Parenting Practices,Parental Control,Parenting Practices - Parental Control,"What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs","What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs",Heb je toestemming van je moeder nodig om laat thuis te komen op een doordeweekse avond?,Do you need your mother's permission to come home late on a weeknight?,pp11a(m|v)2[2-7]$,^pp11a(m|v)pc$,,pp11am22 pp11am23 pp11am24 pp11am25 pp11am26 pp11am27 pp11av22 pp11av23 pp11av24 pp11av25 pp11av26 pp11av27
Sollicitation (mf),sollicitation,,71,,,12,495,2.98,0.66,1.25,5,0.16,0.74,-0.22,-0.5,0.83,Good,0.41,0.66,0.36,"Kerr, M. & Stattin, H. (2000). What parents know, how they know it, and several forms of adolescent adjustment: Further support for a reinterpretation of monitoring. Developmental Psychology, 36, 366-380.",Parenting Practices,Parental Solicitation,Parenting Practices - Parental Solicitation,"What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs","What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs","Vraagt je moeder je om te vertellen over dingen die gebeurd zijn tijdens je vrije tijd (wie je ontmoet hebt toen je weg was, vrijetijdsbesteding, enz.)?","Does your mother ask you to tell about things that happened during your free time (who you met when you were away, leisure activities, etc.)?",pp11a(m|v)(1[6-9]|2[0-1])$,^pp11a(m|v)ps$,,pp11am16 pp11am17 pp11am18 pp11am19 pp11am20 pp11am21 pp11av16 pp11av17 pp11av18 pp11av19 pp11av20 pp11av21
Disclosure (mf),disclosure,,72,,,12,495,3.82,0.65,1.67,5,-0.43,-1.94,-0.18,-0.41,0.84,Good,0.44,0.71,0.38,"Kerr, M. & Stattin, H. (2000). What parents know, how they know it, and several forms of adolescent adjustment: Further support for a reinterpretation of monitoring. Developmental Psychology, 36, 366-380.",Parenting Practices,Adolescent Disclosure,Parenting Practices - Adolescent Disclosure,"What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs","What parents know, how they know it, and how disclosure is handled in parent-adolescent pairs",Heb je veel geheimen voor je moeder over wat je doet in je vrije tijd? ,Do you keep many secrets from your mother about what you do in your spare time? ,pp11a(m|v)1[0-5]$,^pp11a(m|v)ad$,,pp11am10 pp11am11 pp11am12 rpp11am13 rpp11am14 pp11am15 pp11av10 pp11av11 pp11av12 rpp11av13 rpp11av14 pp11av15
